product_id,slug,name,short_description,category,subcategory,price,mrp,supplier_price,margin,image_1_drive_id,image_2_drive_id,image_3_drive_id,image_alt,material,dimensions,best_for,features,whats_in_box,stock_status,featured,visible,sort_order,tags,source_url,demand_signal
GS-KIT-001,sink-organizer-caddy-towel-bar,Sink Organizer Caddy with Towel Bar,"Keeps sponge, soap and cloth neatly near the sink.",Kitchen Organizers,Sink Area,429,599,347,82,,,,Sink Organizer Caddy with Towel Bar for Indian homes,Plastic / coated metal,Approx. 22 x 10 x 10 cm,"Small kitchens, rented flats, sink corners",Keeps sink area tidy|Towel bar for quick drying|Compact countertop use,1 sink organizer caddy,in_stock,yes,yes,1,"kitchen,sink,organizer,under-499",https://www.meesho.com/lakshy-kitchen-sink-organizer-sink-caddy-with-towel-bar-sponge-holder-for-kitchen-sink-countertop-sink-organizer-rust-proof-dish-soap-caddy-small-space-kitchen-storage-under-sink-organizer-kitchen-sink-tidy-rack-multifunctional-sink-caddy-adhesive-sink-organizer/p/8s112p,Meesho product page found around ₹347; sink organizers are highlighted for tidy small kitchens.
GS-KIT-002,adhesive-sink-sponge-holder,Adhesive Sink Sponge Holder,"No-drill holder for sponge, scrub and dish soap.",Kitchen Organizers,Sink Area,199,299,135,64,,,,Adhesive Sink Sponge Holder for Indian homes,Plastic,Approx. 12 x 8 x 6 cm,Daily dishwashing area,No drilling required|Keeps sponge dry|Easy to remove and clean,1 adhesive sponge holder,in_stock,yes,yes,2,"kitchen,sink,adhesive,under-299",https://www.meesho.com/kitchen-storage-organisers/pl/672t,"Meesho category copy highlights wall-mounted shelves, vertical space, small-kitchen racks and many options under ₹299."
GS-KIT-003,stainless-steel-utensil-holder,Stainless Steel Utensil Holder,"Countertop holder for spoons, ladles and spatulas.",Kitchen Organizers,Utensil Storage,299,449,225,74,,,,Stainless Steel Utensil Holder for Indian homes,Stainless steel,Approx. 12 x 12 x 16 cm,"Cooking counter, compact kitchens",Rust-resistant body|Open design for quick access|Easy to wash,1 utensil holder,in_stock,yes,yes,3,"kitchen,utensil,steel,under-499",https://www.meesho.com/holder-kitchen-storage/pl/c26,Meesho holder kitchen category highlights durable stainless-steel kitchen organizers and utensil holders.
GS-KIT-004,compact-dish-drying-rack,Compact Dish Drying Rack,"Space-saving dish stand for plates, bowls and cups.",Kitchen Organizers,Dish Rack,499,699,390,109,,,,Compact Dish Drying Rack for Indian homes,Plastic / steel,Approx. 38 x 28 x 12 cm,"Small sink counter, everyday dish drying",Improves air drying|Separate plate slots|Compact counter footprint,1 dish drying rack,in_stock,yes,yes,4,"kitchen,dish-rack,storage,under-499",https://www.meesho.com/kitchen-storage-organisers/pl/672t,Meesho kitchen storage page specifically mentions plate racks and dish stands for clean organized sink areas.
GS-KIT-005,wall-mounted-kitchen-rack,Wall Mounted Kitchen Rack,"Vertical storage rack for jars, spices and small bottles.",Kitchen Organizers,Wall Storage,399,599,300,99,,,,Wall Mounted Kitchen Rack for Indian homes,Plastic / metal,Approx. 32 x 12 x 8 cm,"Small kitchens, non-modular kitchens",Uses wall space|Keeps counter free|Suitable for jars and bottles,1 wall mounted rack,in_stock,yes,yes,5,"kitchen,wall-rack,space-saving,under-499",https://www.meesho.com/kitchen-storage-organisers/pl/672t,"Meesho category copy highlights wall-mounted shelves, vertical space, small-kitchen racks and many options under ₹299."
GS-KIT-006,magnetic-fridge-side-spice-rack,Magnetic Fridge Side Spice Rack,"Magnetic rack for bottles, spices and utensils on fridge side.",Kitchen Organizers,Magnetic Rack,479,699,386,93,,,,Magnetic Fridge Side Spice Rack for Indian homes,Metal,Approx. 30 x 11 x 9 cm,"Fridge side, compact kitchens",Magnetic fitting|Saves counter space|Useful for spices and bottles,1 magnetic storage rack,in_stock,yes,yes,6,"kitchen,fridge-side,magnetic,under-499",https://www.meesho.com/magnetic-kitchen-storage-rack-wall-mounted-spice-holderspace-saving-organizer-for-bottles-utensilsfridge-side-rack-organizer-for-compact-storage-pack-of-1/p/dyjn1y,Exact Meesho listing found around ₹386 with 4.5 rating signal.
GS-KIT-008,countertop-masala-spice-rack,Countertop Masala Spice Rack,Compact rack to arrange daily masala bottles.,Kitchen Organizers,Spice Storage,349,499,260,89,,,,Countertop Masala Spice Rack for Indian homes,Plastic / metal,Approx. 28 x 12 x 18 cm,"Indian spice bottles, cooking counter",Keeps masalas visible|Compact footprint|Easy to move,1 spice rack,in_stock,yes,yes,7,"kitchen,masala,spice,under-499",https://www.meesho.com/kitchen-storage-organisers/pl/672t,Meesho kitchen storage category highlights masala stands as essential for Indian kitchens.
GS-KIT-009,oil-bottle-organizer-tray,Oil Bottle Organizer Tray,Tray-style organizer for oil bottles and sauces.,Kitchen Organizers,Bottle Storage,249,399,170,79,,,,Oil Bottle Organizer Tray for Indian homes,Plastic,Approx. 30 x 10 x 5 cm,"Gas stove side, oil bottle area",Controls spills|Keeps bottles grouped|Easy to wipe clean,1 organizer tray,in_stock,no,yes,8,"kitchen,oil-bottle,tray,under-299",https://www.meesho.com/kitchen-racks-holders/pl/3nr,Kitchen racks/holders category emphasizes keeping cooking items in one place and accessible.
GS-KIT-010,airtight-pantry-jar-set-8,Airtight Pantry Jar Set of 8,Matching container set for pantry staples and snacks.,Kitchen Organizers,Pantry Storage,499,699,390,109,,,,Airtight Pantry Jar Set of 8 for Indian homes,Plastic,500 ml each,"Dal, snacks, tea, sugar, pantry shelves",Airtight-style lids|Stackable pantry look|Budget kitchen upgrade,Set of 8 pantry jars,in_stock,yes,yes,9,"kitchen,pantry,containers,under-499",https://www.meesho.com/set-8-new-desgine-plastic-storage-jar-container-set-air-tight-bpa-free-containers-for-kitchen-storage-set-kitchen-organizer-kitchen-storage-set-pantry-organization-multipurpose-jar-500-ml-set-8-black/p/7stwoz,Meesho listing found 8-piece pantry jar/container set; category pages show jars and containers with high review counts.
GS-KIT-011,stackable-storage-container-set,Stackable Kitchen Container Set,Stackable boxes for pantry shelf organization.,Kitchen Organizers,Pantry Storage,349,499,255,94,,,,Stackable Kitchen Container Set for Indian homes,Plastic,Mixed sizes,"Kitchen shelves, dry groceries",Stackable design|Clear visibility|Helps reduce shelf clutter,1 storage container set,in_stock,no,yes,10,"kitchen,containers,stackable,under-499",https://www.meesho.com/kitchen-storage-organisers/pl/672t,Meesho small-kitchen FAQ recommends stackable containers to maximize pantry and fridge space.
